Transfers,,12/14/17,,GRUBHUBNEWYORKPIZZAFA    GRUBHUB.COM  NY,Restaurants/Dining,-18.92
Transfers,,12/14/17,,BAR LOUIE GAINESVI       GAINESVILLE  VA,Restaurants/Dining,-11.1
Transfers,,12/14/17,,PARK AVENUE CAFE         FALLS CHURCH VA,Groceries,-5.81
Transfers,,12/14/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/14/17,,COCA COLA ALEXANDRIA     ALEXANDRIA   VA,Groceries,-1.5
Transfers,,12/13/17,,CRI*CRUNCHYROLL MEMBER   xxx-xxx-9235 CA,Restaurants/Dining,-6.95
Transfers,,12/13/17,,USA*CANTEEN VENDING      SUITLAND     MD,Groceries,-1.7
Transfers,,12/12/17,,MISSION BBQ GAINES       GAINESVILLE  VA,Restaurants/Dining,-40.96
Transfers,,12/12/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-11.44
Transfers,,12/12/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/11/17,,MERRIFIELD CITGO         FAIRFAX      VA,Gasoline/Fuel,-44
Transfers,,12/11/17,,GIANT xxxx2932 CHAIN BRIDOAKTON       VA,Groceries,-21.59
Transfers,,12/11/17,,CHIPOTLE 2001            OAKTON       VA,Restaurants/Dining,-20.14
Transfers,,12/11/17,,GIANT xxxx2932 CHAIN BRIDOAKTON       VA,Groceries,-10.78
Transfers,,12/11/17,,7-ELEVEN                 VIENNA       VA,Groceries,-10.56
Transfers,,12/11/17,,Spotify USA              xxx-xxx5380  NY,Entertainment,-9.99
Transfers,,12/11/17,,SUBWAY        xxxx3441   OAKTON       VA,Restaurants/Dining,-8.36
Transfers,,12/11/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/8/17,,SHELL Service Station    FALLS CHURCH VA,Gasoline/Fuel,-55.26
Transfers,,12/8/17,,USA*CANTEEN VENDING      SUITLAND     MD,Groceries,-2.7
Transfers,,12/8/17,,USAA FUNDS TRANSFER CR,Transfers,600
Transfers,,12/7/17,,GRUBHUBKIMSPHOVIETNAM    GRUBHUB.COM  NY,Restaurants/Dining,-46.31
Transfers,,12/7/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-7.41
Transfers,,12/7/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/5/17,,POTBELLY #241            GAINESVILLE  VA,Restaurants/Dining,-25.12
Transfers,,12/5/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-9.85
Transfers,,12/5/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,12/4/17,,AMAZON.COM WWW.AMAZON.   WWW.AMAZON.COWA,General Merchandise,-54.43
Transfers,,12/4/17,,AMAZON.COM WWW.AMAZON.   WWW.AMAZON.COWA,General Merchandise,-33.59
Transfers,,12/4/17,,TROPICAL SMOOTHIE VA-1   FAIR FAX     VA,Restaurants/Dining,-27.18
Transfers,,12/4/17,,GIANT xxxx2932 CHAIN BRIDOAKTON       VA,Groceries,-16.36
Transfers,,12/4/17,,NANDOS GAINESVILLE       GAINESVILLE  VA,Restaurants/Dining,-11.61
Transfers,,12/4/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-9.85
Transfers,,12/4/17,,VISIT PATREON.COM INFO   HTTPSWWW.PATRCA,Online Services,-2
Transfers,,12/1/17,,USAA P&amp;C INT     AUTOPAY    ***********2468,Insurance,-85.12
Transfers,,12/1/17,,INOVA FAIRFAX ECASHIER   xxxxxx5931   VA,Healthcare/Medical,-100
Transfers,,12/1/17,,INOVA FAIRFAX ECASHIER   xxxxxx5931   VA,Healthcare/Medical,-50
Transfers,,12/1/17,,BODYBUILDING.COM         xxx-xxx-8417 ID,Personal Care,-34.98
Transfers,,11/30/17,,AMZ*RedBubble Inc.       AMZN.COM PMTSWA,General Merchandise,-34.08
Transfers,,11/30/17,,5GUYS 0029 QSR           GAINESVILLE  VA,Restaurants/Dining,-21.12
Transfers,,11/30/17,,EINSTEIN BROS BAGELS26   FAIRFAX      VA,Restaurants/Dining,-12.03
Transfers,,11/30/17,,5GUYS 0029 QSR           GAINESVILLE  VA,Restaurants/Dining,-8.31
Transfers,,11/30/17,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,11/29/17,,24HOUR FITNESS USA INC   xxx-xxx-6348 CA,Personal Care,-44.99
Transfers,,11/29/17,,STEAMGAMES.COM           xxx-xxx-9642 WA,Entertainment,-34.7
Transfers,,11/29/17,,CAVA MEZZE GRILL GAINS   GAINESVILLE  VA,Restaurants/Dining,-26.12
Transfers,,11/27/17,,TARGET T- x3047 Fair L   FAIRFAX      VA,General Merchandise,-138.83
Transfers,,11/27/17,,GIANT xxxx2932 CHAIN BRIDOAKTON       VA,Groceries,-17.13
Transfers,,11/27/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-11.44
Transfers,,11/27/17,,7-ELEVEN                 OAKTON       VA,Groceries,-7.01
Transfers,,11/27/17,,7-ELEVEN                 FALMOUTH     VA,Groceries,-6.26
Transfers,,11/27/17,,7-ELEVEN                 OAKTON       VA,Groceries,-5.63
Transfers,,11/27/17,,7-ELEVEN                 OAKTON       VA,Restaurants/Dining,7.01
Transfers,,11/27/17,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,11/24/17,,7-ELEVEN                 MANASSAS     VA,Groceries,-41.11
Transfers,,11/24/17,,GRUBHUBNEWYORKPIZZAFA    GRUBHUB.COM  NY,Restaurants/Dining,-26.54
Transfers,,11/24/17,,STARBUCKS STORE x0713    OAKTON       VA,Restaurants/Dining,-18.07
Transfers,,11/24/17,,7-ELEVEN                 MANASSAS     VA,Groceries,-14.88
Transfers,,11/24/17,,IFH BLUE &amp; GRAY GARAGE   FALLS CHURCH VA,Automotive Expenses,-5
Transfers,,11/22/17,,GRUBHUBALNAKHEELLEBAN    GRUBHUB.COM  NY,Restaurants/Dining,-29.86
Transfers,,11/22/17,,STEAMGAMES.COMxxxx5229   xxx-xxx2985  WA,Entertainment,-7.49
Transfers,,11/22/17,,STEAMGAMES.COMxxxx5229   xxx-xxx2985  WA,Entertainment,-2.49
Transfers,,11/21/17,,ABC*Anytime Fitness      xxx-xxx9262  VA,Personal Care,-44.99
Transfers,,11/21/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-5.82
Transfers,,11/20/17,,PARK AVENUE CAFE         FALLS CHURCH VA,Groceries,-10.44
Transfers,,11/20/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-6.17
Transfers,,11/20/17,,MOD PIZZA GAINESVILLE    GAINESVILLE  VA,Restaurants/Dining,-5.59
Transfers,,11/20/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-3.89
Transfers,,11/20/17,,USA*CANTEEN VENDING      SUITLAND     MD,Groceries,-3.4
Transfers,,11/17/17,,FC PUBLIC SAFETY GARAG   FAIRFAX      VA,Parking,-5
Transfers,,11/16/17,,CHECK # 0xxxxx1028,Taxes,-149.12
Transfers,,11/16/17,,CHECK # 0xxxxx1027,Taxes,-39.02
Transfers,,11/16/17,,DOORDASH-SUPER CHICKEN   STRIPE.COM   CA,Restaurants/Dining,-32.45
Transfers,,11/15/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-15.67
Transfers,,11/14/17,,CYBERNET                 xxx-xxx-3058 CA,Electronics,-39.99
Transfers,,11/14/17,,POTBELLY #241            GAINESVILLE  VA,Restaurants/Dining,-16.17
Transfers,,11/13/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-128.06
Transfers,,11/13/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-49.99
Transfers,,11/13/17,,ERMxxxxx2900 Nutley StreeFAIRFAX      VA,Other Expenses,-20
Transfers,,11/13/17,,7-ELEVEN                 OAKTON       VA,Groceries,-12.67
Transfers,,11/13/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-12
Transfers,,11/13/17,,PARK AVENUE CAFE         FALLS CHURCH VA,Groceries,-8.76
Transfers,,11/13/17,,MCDONALD'S M5039 OF VA   VIENNA       VA,Restaurants/Dining,-7.61
Transfers,,11/13/17,,CRI*CRUNCHYROLL MEMBER   xxx-xxx-9235 CA,Restaurants/Dining,-6.95
Transfers,,11/13/17,,MMS INOVA FAIRxxxx2200   FALLS CHURCH VA,Restaurants/Dining,-6.17
Transfers,,11/13/17,,USAA FUNDS TRANSFER CR,Transfers,400
Transfers,,11/10/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-23.56
Transfers,,11/10/17,,TROPICAL SMOOTHIE VA-7   OAKTON       VA,Restaurants/Dining,-13.02
Transfers,,11/10/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-11.5
Transfers,,11/9/17,,APL* ITUNES.COM BILL     xxx-xxx-7753 CA,Online Services,-14.99
Transfers,,11/9/17,,PARK AVENUE CAFE         FALLS CHURCH VA,Groceries,-11.54
Transfers,,11/9/17,,Spotify USA              xxx-xxx5380  NY,Entertainment,-9.99
Transfers,,11/8/17,,H E TANNER               ANNANDALE    VA,Gasoline/Fuel,-44.56
Transfers,,11/8/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-16.95
Transfers,,11/8/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-12.99
Transfers,,11/8/17,,H E TANNER               ANNANDALE    VA,Restaurants/Dining,-4.13
Transfers,,11/8/17,,USAA FUNDS TRANSFER CR,Transfers,500
Transfers,,11/7/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-37.97
Transfers,,11/7/17,,AMAZON MKTPLACE PMTS     AMZN.COM BILLWA,Personal Care,-36.9
Transfers,,11/7/17,,TONY'S NY PIZZA          MANASSAS     VA,Restaurants/Dining,-25.8
