PersonalChecking,,6/17/19,,CHASE CREDIT CRD AUTOPAY    ***********5572,Credit Card Payments,-2307.02
BusinessChecking,,6/21/19,,CAPITAL ONE,Credit Card Payments,-913.6
BusinessSparkVisa,,6/21/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-M ay,Credit Card Payments,913.6
ChasePersonalCredit,,7/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,1734.91
PersonalChecking,,7/15/19,,CHASE CREDIT CRD AUTOPAY    ***********2483,Credit Card Payments,-1734.91
BusinessChecking,,7/22/19,,CAPITAL ONE,Credit Card Payments,-340.12
BusinessSparkVisa,,7/22/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 27-J un,Credit Card Payments,340.12
ChasePersonalCredit,,8/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,2838.9
PersonalChecking,,8/15/19,,CHASE CREDIT CRD AUTOPAY    ***********3150,Credit Card Payments,-2838.9
ChasePersonalCredit,,8/18/19,,Payment Thank You Special,Credit Card Payments,610.15
PersonalChecking,,8/19/19,,CHASE CREDIT CRD EPAY       ***********4734,Credit Card Payments,-610.15
BusinessChecking,,8/21/19, ,CAPITAL ONE,Credit Card Payments,-20.99
BusinessSparkVisa,,8/21/19, ,CAPITAL ONE AUTOPAY PYMT AuthDate 26-J ul,Credit Card Payments,20.99
ChasePersonalCredit,,9/13/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,4654.46
PersonalChecking,,9/16/19,,CHASE CREDIT CRD AUTOPAY    ***********7251,Credit Card Payments,-4654.46
BusinessSparkVisa,,9/21/19, , CAPITAL ONE AUTOPAY PYMT AuthDate 26-A ug,Credit Card Payments,244.83
BusinessChecking,,9/23/19, , CAPITAL ONE,Credit Card Payments,-244.83
ChasePersonalCredit,,10/14/19,,AUTOMATIC PAYMENT - THANK,Credit Card Payments,3362.23
PersonalChecking,,10/15/19,,CHASE CREDIT CRD AUTOPAY    ***********7822,Credit Card Payments,-3362.23
BusinessChecking,,10/21/19,,CAPITAL ONE,Credit Card Payments,-20.99
BusinessSparkVisa,,10/21/19,,CAPITAL ONE AUTOPAY PYMT AuthDate 26-S ep,Credit Card Payments,20.99
ChasePersonalCredit,,3/28/19,,PEETS#x4206,Dining,-2.7
ChasePersonalCredit,,5/20/19,,PASHA TURKISH CUISINE,Dining,-26.75
ChasePersonalCredit,,8/6/19,lunch with Portia Tung,SEQUOIA DC,Dining,-82.75
ChasePersonalCredit,,8/8/19,,GAYLORD NATIONAL F&amp;B,Dining,-11.66
BusinessSparkVisa,,1/22/19,,Squarespace,Dues and Subscriptions,-5
ChasePersonalCredit,,1/22/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-27
ChasePersonalCredit,,1/30/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,2/21/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-27
BusinessSparkVisa,,2/22/19,,Squarespace,Dues and Subscriptions,-5
ChasePersonalCredit,,3/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,3/24/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-27
ChasePersonalCredit,,4/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
BusinessSparkVisa,,4/22/19,,Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,5/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,5/20/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.3
BusinessSparkVisa,,5/22/19,,Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,6/2/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,6/17/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.5
BusinessChecking,,6/19/19,,Squarespace,Dues and Subscriptions,-216
BusinessSparkVisa,,6/22/19,,Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,7/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,7/15/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.5
BusinessSparkVisa,,7/22/19,,Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,8/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,8/12/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.5
BusinessSparkVisa,,8/22/19, ,Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,9/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,9/9/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.5
BusinessSparkVisa,,9/23/19, , Squarespace,Dues and Subscriptions,-6
ChasePersonalCredit,,10/1/19,,WETA TV &amp; FM,Dues and Subscriptions,-5
ChasePersonalCredit,,10/7/19,,NEW YORK TIMES DIGITAL,Dues and Subscriptions,-12.5
ChasePersonalCredit,,1/27/19,Movie on the basis of sex with Chaiya,RESTON TOWN CENTER &amp; BTX,Entertainment,-26.5
ChasePersonalCredit,,5/26/19,,CAPITAL BIKE SHARE,Entertainment,-4
ChasePersonalCredit,,5/27/19,,CAPITAL BIKE SHARE,Entertainment,-4
ChasePersonalCredit,,5/28/19,CAPITAL BIKE SHARE - herndon ToF,CAPITAL BIKE SHARE,Entertainment,-4
ChasePersonalCredit,,5/29/19,CAPITAL BIKE SHARE Herndon ToF,CAPITAL BIKE SHARE,Entertainment,-4
ChasePersonalCredit,,6/9/19,Tops and spinners from Colvin Run,GWMP-GREAT FALLS PARK,Entertainment,-15
ChasePersonalCredit,,8/11/19,The Farewell Movie with Katie Jay,RESTON TOWN CENTER &amp; BTX,Entertainment,-12
ChasePersonalCredit,,10/6/19,,REFUGE INN &amp; BIKE DEPOT,Entertainment,-144.69
ChasePersonalCredit,,10/29/19,,REFUGE INN &amp; BIKE DEPOT,Entertainment,-144.69
ChasePersonalCredit,,1/10/19,,UNITED xxxxxxxxx1688,Expense Reimbursement,-10
ChasePersonalCredit,,1/10/19,,UNITED xxxxxxxxx0911,Expense Reimbursement,-210.6
ChasePersonalCredit,,1/10/19,,UNITED xxxxxxxxx1687,Expense Reimbursement,-10
ChasePersonalCredit,,1/18/19,Weinberg and Johanna Rothman,LEANPUB,Expense Reimbursement,-19.99
ChasePersonalCredit,,1/28/19,copies of the Clean Interviewing,FEDEXOFFICE xxxx5137,Expense Reimbursement,-16.5
ChasePersonalCredit,,2/3/19,,LIVE! HOTEL,Expense Reimbursement,-333.28
ChasePersonalCredit,,2/18/19,,UNITED xxxxxxxxx8896,Expense Reimbursement,-11.2
ChasePersonalCredit,,2/25/19,,SQ *THE CHEESE COURSE,Expense Reimbursement,-14.01
ChasePersonalCredit,,2/25/19,,LYFT *RIDE SUN 5AM,Expense Reimbursement,-15.14
ChasePersonalCredit,,2/25/19,,LYFT *RIDE SUN 11AM,Expense Reimbursement,-17.6
ChasePersonalCredit,,2/25/19,,SQ *THE CHEESE COURSE,Expense Reimbursement,-14.01
ChasePersonalCredit,,2/27/19,,COURTYARD BY MARRIOTT-,Expense Reimbursement,-176.28
ChasePersonalCredit,,3/1/19,,LYFT *RIDE THU 6AM,Expense Reimbursement,-18.24
ChasePersonalCredit,,3/1/19,,LYFT *RIDE THU 11AM,Expense Reimbursement,-19.9
ChasePersonalCredit,,3/1/19,,INK BY HUDSON ST 1649,Expense Reimbursement,-44.89
ChasePersonalCredit,,3/3/19,,COURTYARD BY MARRIOTT-,Expense Reimbursement,-839.01
ChasePersonalCredit,,3/10/19,,UNITED xxxxxxxxx1521,Expense Reimbursement,-570.97
ChasePersonalCredit,,3/10/19,,CARLSON WAG xxxxxxxxx1521,Expense Reimbursement,-15
PersonalChecking,,3/19/19,,TENABLE NETWORK  DIRECT-PAY ***********4921,Expense Reimbursement,1001.44
ChasePersonalCredit,,3/19/19,,LYFT *RIDE MON 6AM,Expense Reimbursement,-16.83
ChasePersonalCredit,,3/19/19,,TRADER JOE'S #251 QPS,Expense Reimbursement,-12.92
ChasePersonalCredit,,3/20/19,,LYFT *RIDE MON 11AM,Expense Reimbursement,-13.12
ChasePersonalCredit,,3/21/19,,LYFT *RIDE TUE 8AM,Expense Reimbursement,-6
ChasePersonalCredit,,3/22/19,,LYFT *RIDE WED 4PM,Expense Reimbursement,-8.49
ChasePersonalCredit,,3/22/19,,LYFT *RIDE THU 4PM,Expense Reimbursement,-6.87
ChasePersonalCredit,,3/24/19,,FOUR POINTS HOTEL,Expense Reimbursement,-912.05
ChasePersonalCredit,,3/24/19,,FOUR POINTS HOTEL,Expense Reimbursement,-22.85
ChasePersonalCredit,,3/24/19,,LYFT *RIDE SAT 7AM,Expense Reimbursement,-24.07
ChasePersonalCredit,,3/25/19,,LYFT *RIDE SAT 7PM,Expense Reimbursement,-15.47
PersonalChecking,,4/9/19,,TENABLE NETWORK  DIRECT-PAY ***********5780,Expense Reimbursement,1632.58
ChasePersonalCredit,,7/22/19,,UNITED xxxxxxxxx1070,Expense Reimbursement,-606.32
ChasePersonalCredit,,7/22/19,,CARLSON WAG xxxxxxxxx1070,Expense Reimbursement,-7
ChasePersonalCredit,,7/22/19,,CARLSON WAG xxxxxxxxx0680,Expense Reimbursement,-3
PersonalChecking,,8/12/19,,CHECK # 0000001086,Expense Reimbursement,-1500
PersonalChecking,,8/27/19,,TENABLE NETWORK  DIRECT-PAY ***********3484,Expense Reimbursement,1956.93
ChasePersonalCredit,,9/3/19,TENABLE TRAVEL LYFT *RIDE MON 7PM,LYFT *RIDE MON 7PM,Expense Reimbursement,-19.29
PersonalChecking,,9/4/19,,TENABLE NETWORK  DIRECT-PAY ***********5255,Expense Reimbursement,606.33
ChasePersonalCredit,,9/4/19,TENABLE TRAVEL ELY CHQ KERSTIN RESTAURANT,ELY CHQ,Expense Reimbursement,-37.33
ChasePersonalCredit,,9/4/19,TENABLE TRAVEL STARBUCKS C7 IAD,STARBUCKS C7 IAD,Expense Reimbursement,-3.39
PersonalChecking,,10/7/19,,TENABLE NETWORK  DIRECT-PAY ***********2819,Expense Reimbursement,835.23
ChasePersonalCredit,,10/15/19,,INTL SPY MUSEUM MUSEUM,Expense Reimbursement,-97.31
PersonalChecking,,10/28/19,,TENABLE NETWORK  DIRECT-PAY ***********9498,Expense Reimbursement,572.21
ChasePersonalCredit,,1/3/19,,EXXONMOBIL xxxx9563,Gasoline/Fuel,-27.49
ChasePersonalCredit,,2/5/19,,EXXONMOBIL xxxx9563,Gasoline/Fuel,-25.91
ChasePersonalCredit,,3/5/19,,EXXONMOBIL xxxx1969,Gasoline/Fuel,-27.79
ChasePersonalCredit,,4/22/19,,EXXONMOBIL xxxx6676,Gasoline/Fuel,-33.16
ChasePersonalCredit,,4/29/19,Royal Malla,ROYAL MALLA LLC,Gasoline/Fuel,-33.27
ChasePersonalCredit,,5/13/19,,SUNOCO xxxxxx9901,Gasoline/Fuel,-16.79
BusinessSparkVisa,,5/14/19,,Sunoco Gas,Gasoline/Fuel,-28.16
ChasePersonalCredit,,5/19/19,,SHELL OIL xxxxxxx0803,Gasoline/Fuel,-34.33
ChasePersonalCredit,,5/21/19,,EXXONMOBIL xxxx3545,Gasoline/Fuel,-22.41
ChasePersonalCredit,,5/28/19,,EXXONMOBIL xxxx9563,Gasoline/Fuel,-36.83
ChasePersonalCredit,,6/24/19,,EXXONMOBIL xxxx1969,Gasoline/Fuel,-31.04
ChasePersonalCredit,,7/8/19,,SUNOCO xxxxxx2100,Gasoline/Fuel,-15.67
